Codice,Varieta,Codice del clone,Nome del clone,Data di approvazione,Costitutore,Sinonimi,Annotazioni,Gazzetta ufficiale,Data G.U.
103,GROPPELLO DI S. STEFANO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
104,GROPPELLO GENTILE N.,,,1970-05-25,,GROPPELLO *,* Ai soli fini della designazione,G.U. 149,1970-06-17
104,GROPPELLO GENTILE N.,001,I - RAUSCEDO 3,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
104,GROPPELLO GENTILE N.,002,I - VCR 14,2004-05-07,2,,,G.U. 242,2004-10-14
104,GROPPELLO GENTILE N.,003,I - VCR 11,2006-02-02,2,,,G.U. 61,2006-03-14
104,GROPPELLO GENTILE N.,004,I - MI - GROG - 25,2010-05-28,33/29/41,,,G. U. 189,2010-08-14
105,GUARDAVALLE B.,,,1971-03-22,,"(098) GRECO BIANCO B., UVA GRECA",,G.U. 98,1971-04-24
106,GUARNACCIA B.,,,1970-05-25,,GRANATZA,,G.U. 149,1970-06-17
107,IMPIGNO B.,,,1970-05-25,1,,,G.U.,1970-06-17
107,IMPIGNO B.,001,I-CRSFA-Regione Puglia C144,2020-01-07,66/71/11/80,,,G.U.,2020-01-21
108,INCROCIO BRUNI 54 B.,,,1971-02-22,,,,G.U. 71,1971-03-22
109,INCROCIO MANZONI 2.15 N.,,,1970-05-25,,MANZONI ROSSO*,* Ai soli fini della designazione,G.U. 149,1970-06-17
109,INCROCIO MANZONI 2.15 N.,001,I - 2007 ISV-VA 1,2009-01-12,1/21,,,G.U. 93,2009-04-22
110,INCROCIO TERZI N.1 N.,,,1970-05-25,,(440) GRATENA N.,,G.U. 149,1970-06-17
111,LACRIMA N.,,,1971-03-22,,,,G.U. 98,1971-04-24
112,LAGREIN N.,,,1970-05-25,,,,G.U. 149,1970-06-17
112,LAGREIN N.,001,I - SMA 63,1978-10-24,6,,,G.U. 323,1978-11-18
112,LAGREIN N.,002,I - SMA 66,1978-10-24,6,,,G.U. 323,1978-11-18
112,LAGREIN N.,003,I - LB 511,1981-11-04,5,,,G.U. 334,1981-12-04
112,LAGREIN N.,004,I - LB 523,1981-11-04,5,,,G.U. 334,1981-12-04
112,LAGREIN N.,005,I - LB 509,1981-11-04,5,,,G.U. 334,1981-12-04
112,LAGREIN N.,006,I - SMA 65,1990-06-25,6,,,G.U. 199,1990-08-27
112,LAGREIN N.,007,I - ISMA 261,2002-11-27,6,,,G.U. 19,2003-01-24
112,LAGREIN N.,008,I - ISMA 265,2002-11-27,6,,,G.U. 19,2003-01-24
112,LAGREIN N.,009,I - Lb 25,2009-03-27,5,,,G.U. 146,2009-06-26
112,LAGREIN N.,010,I - Lb 26,2009-03-27,5,,,G.U. 146,2009-06-26
112,LAGREIN N.,011,I - Lb 3,2009-03-27,5,,,G.U. 146,2009-06-26
113,LAMBRUSCA DI ALESSANDRIA N.,,,1974-04-17,,,,Reg. CEE 925/74 in G.U.C.E. L 111,1974-04-24
114,LAMBRUSCO A FOGLIA FRASTAGLIATA N.,,,1970-05-25,,ENANTIO,,G.U. 149,1970-06-17
114,LAMBRUSCO A FOGLIA FRASTAGLIATA N.,001,I - SMA-ISV 317,1992-10-30,6/1,,,G.U. 286,1992-12-04
115,LAMBRUSCO DI SORBARA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
115,LAMBRUSCO DI SORBARA N.,001,I - RAUSCEDO 4,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
115,LAMBRUSCO DI SORBARA N.,002,I - CAB 2 V,1990-08-31,8,,,G.U. 242,1991-10-15
115,LAMBRUSCO DI SORBARA N.,003,I - CAB 21 G,1990-08-31,8,,,G.U. 242,1991-10-15
115,LAMBRUSCO DI SORBARA N.,004,I - VCR 20,2004-05-07,2,,,G.U. 242,2004-10-14
116,LAMBRUSCO GRASPAROSSA N.,,,1970-05-25,,"GROPPELLO GRASPAROSSA, LAMBRUSCO*",* Ai soli fini della designazione,G.U. 149,1970-06-17
116,LAMBRUSCO GRASPAROSSA N.,001,I - RAUSCEDO 1,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
116,LAMBRUSCO GRASPAROSSA N.,002,I - CAB 7,1990-08-31,8,,,G.U. 242,1991-10-15
116,LAMBRUSCO GRASPAROSSA N.,003,I - CAB 14,1990-08-31,8,,,G.U. 242,1991-10-15
116,LAMBRUSCO GRASPAROSSA N.,004,I - VCR 442,2013-07-10,2,,,G. U. 186,2013-08-09
116,LAMBRUSCO GRASPAROSSA N.,005,I - VCR 465,2015-12-30,2,,,G.U. 16,2016-01-21
117,LAMBRUSCO MAESTRI N.,,,1970-05-25,,"GROPPELLO MAESTRI, LAMBRUSCO*",* Ai soli fini della designazione,G.U. 149,1970-06-17
117,LAMBRUSCO MAESTRI N.,002,I - CAB 6,1990-08-31,8,,,G.U. 242,1991-10-15
117,LAMBRUSCO MAESTRI N.,003,I - CAB 16,1990-08-31,8,,,G.U. 242,1991-10-15
117,LAMBRUSCO MAESTRI N.,004,I - VCR 1,1995-03-03,2,,,G.U. 72,1995-03-27
118,LAMBRUSCO MARANI N.,,,1970-05-25,,LAMBRUSCO*,* Ai soli fini della designazione,G.U. 149,1970-06-17
118,LAMBRUSCO MARANI N.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
118,LAMBRUSCO MARANI N.,002,I - CAB 8 A,1990-08-31,8,,,G.U. 242,1991-10-15
118,LAMBRUSCO MARANI N.,003,I - VCR 335,2016-12-28,2,,,G.U. 8,2017-01-11
118,LAMBRUSCO MARANI N.,004,I - VCR 131,2023-06-19,2,,,G.U. 170,2023-07-22
119,LAMBRUSCO MONTERICCO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
120,LAMBRUSCO SALAMINO N.,,,1970-05-25,,LAMBRUSCO*,* Ai soli fini della designazione,G.U. 149,1970-06-17
120,LAMBRUSCO SALAMINO N.,001,I - RAUSCEDO 5,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
120,LAMBRUSCO SALAMINO N.,002,I - CAB 1,1990-08-31,8,,,G.U. 242,1991-10-15
120,LAMBRUSCO SALAMINO N.,003,I - CAB 3,1990-08-31,8,,,G.U. 242,1991-10-15
120,LAMBRUSCO SALAMINO N.,004,I - VCR 1,1992-11-14,2,,,G.U. 289,1992-12-09
120,LAMBRUSCO SALAMINO N.,005,I - VCR 23,2004-05-07,2,,,G.U. 242,2004-10-14
120,LAMBRUSCO SALAMINO N.,006,I - VCR 20,2006-02-02,2,,,G.U. 61,2006-03-14
120,LAMBRUSCO SALAMINO N.,007,I - Ampelos TEA 2D,2009-01-12,60/65/59,,,G.U. 93,2009-04-22
120,LAMBRUSCO SALAMINO N.,008,I - VITIS 5,2013-09-27,58,,,G. U. 241,2013-10-14
120,LAMBRUSCO SALAMINO N.,009,I - VITIS 7,2013-09-27,58,,,G. U. 241,2013-10-14
120,LAMBRUSCO SALAMINO N.,010,I - UNIMI Lambrusco Salamino 1,2013-09-27,33,,,G. U. 241,2013-10-14
121,LAMBRUSCO VIADANESE N.,,,1970-05-25,,Grappello ruberti,,G.U. 149,1970-06-17
121,LAMBRUSCO VIADANESE N.,001,I - VCR 15,2004-05-07,2,,,G.U. 242,2004-10-14
121,LAMBRUSCO VIADANESE N.,002,I - VCR 12,2006-02-02,2,,,G.U. 61,2006-03-14
121,LAMBRUSCO VIADANESE N.,003,I - VCR 13,2006-02-02,2,,,G.U. 61,2006-03-14
121,LAMBRUSCO VIADANESE N.,004,I - Ampelos CNT 3,2009-03-27,78/79/60,,,G.U. 146,2009-06-26
121,LAMBRUSCO VIADANESE N.,005,I - Ampelos CNT 14,2009-03-27,78/79/60,,,G.U. 146,2009-06-26
121,LAMBRUSCO VIADANESE N.,006,I - Ampelos CNT 18,2009-03-27,78/79/60,,,G.U. 146,2009-06-26
122,LIVORNESE BIANCA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
123,LUMASSINA B.,,,1971-03-22,,"BUZZETTO, MATAOSSO, MATAOSSU",,G.U. 98,1971-04-24
124,MACERATINO B.,,,1970-05-25,,RIBONA,,G.U. 149,1970-06-17
124,MACERATINO B.,001,I - CSV - AP MC1,1990-06-21,13,,,G.U. 196,1990-08-23
124,MACERATINO B.,002,I - CSV - AP MC4,1990-06-21,13,,,G.U. 196,1990-08-23
124,MACERATINO B.,003,I - MC - MM 1,1995-10-12,13,,,G.U. 257,1995-11-03
124,MACERATINO B.,004,I - MC - MM 3,1995-10-12,13,,,G.U. 257,1995-11-03
124,MACERATINO B.,005,I - MC - PVD,1995-10-12,13,,,G.U. 257,1995-11-03
124,MACERATINO B.,006,I - VCR 481,2017-10-05,2,,,G.U. 256,2017-11-02
124,MACERATINO B.,007,I - VCR 482,2017-10-05,2,,,G.U. 256,2017-11-02
124,MACERATINO B.,008,I - VCR 483,2017-10-05,2,,,G.U. 256,2017-11-02
125,MAGLIOCCO CANINO N.,,,1971-02-22,,,,G.U. 71,1971-03-22
126,MAIOLICA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
127,MALBECH N.,,,1971-02-22,,,,G.U. 71,1971-03-22
127,MALBECH N.,001,I - ISV-R6,2003-07-09,1/2,,,G.U. 241,2003-10-16
128,MALVASIA N.,,,1971-03-22,,"MALVASIER*, ROTER MALVASIER*;",* Ai soli fini della designazione dei vini provenienti da uve raccolte nella provincia di Bolzano,G.U. 98,1971-04-24
129,MALVASIA BIANCA B.,,,1971-02-22,,"VERDANA, IUVARELLA, MALVASIA *",* Ai soli fini della designazione,G.U. 71,1971-03-22
129,MALVASIA BIANCA B.,001,I - MC 1,1990-03-06,19/20/22,,,G.U. 199,1990-08-27
130,MALVASIA BIANCA DI BASILICATA B.,,,1971-03-22,,,,G.U. 98,1971-04-24
131,MALVASIA BIANCA DI CANDIA B.,,,1970-05-25,,"MALVASIA *, MALVOISIE**, MALVOISIER**","* Ai soli fini della designazione ** Ai soli fini della designazione, per l'esportazione o la spedizione verso altri Stati membri.",G.U. 149,1970-06-17
131,MALVASIA BIANCA DI CANDIA B.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
131,MALVASIA BIANCA DI CANDIA B.,002,I - UBA 26/E,1996-10-09,11/35/36,,,G.U. 258,1996-11-04
131,MALVASIA BIANCA DI CANDIA B.,003,I - UBA 26/F,1996-10-09,11/35/36,,,G.U. 258,1996-11-04
131,MALVASIA BIANCA DI CANDIA B.,004,I - UNIMI - VITIS - MALB VV 200,2007-01-09,33/58,,,G.U. 38,2007-02-15
131,MALVASIA BIANCA DI CANDIA B.,005,I - UNIMI - VITIS - MALB VV 222,2007-01-09,33/58,,,G.U. 38,2007-02-15
131,MALVASIA BIANCA DI CANDIA B.,006,I - Ampelos TEA 26,2009-03-27,59/60,,,G.U. 146,2009-06-26
131,MALVASIA BIANCA DI CANDIA B.,007,I - Ampelos TEA 27,2009-03-27,59/60,,,G.U. 146,2009-06-26
132,MALVASIA BIANCA LUNGA B.,,,1970-05-25,,"MALVASIA *, MALVOISIE**, MALVOISIER**","* Ai soli fini della designazione ** Ai soli fini della designazione, per l'esportazione o la spedizione verso altri Stati membri.",G.U. 149,1970-06-17
132,MALVASIA BIANCA LUNGA B.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
132,MALVASIA BIANCA LUNGA B.,002,I - CENAIA 2,1976-02-04,9,,,G.U. 136,1976-05-24
132,MALVASIA BIANCA LUNGA B.,003,I - MBD - F7 - A2 - 11,1978-10-24,15,,,G.U. 323,1978-11-18
132,MALVASIA BIANCA LUNGA B.,004,I - FEDIT 26 - CH,1990-08-31,3,,,G.U. 242,1991-10-15
132,MALVASIA BIANCA LUNGA B.,005,I - FEDIT 27 - CH,1990-08-31,3,,,G.U. 242,1991-10-15
132,MALVASIA BIANCA LUNGA B.,006,I - VCR 10,1995-03-03,2,,,G.U. 72,1995-03-27
132,MALVASIA BIANCA LUNGA B.,007,I - UBA - RA MV 9,2002-11-27,11/47,,,G.U. 19,2003-01-24
132,MALVASIA BIANCA LUNGA B.,008,I - CRSFA - Regione Puglia C250,2020-01-07,66/71/11/80,,,G.U. 16,2020-01-21
133,MALVASIA DEL LAZIO B.,,,1970-05-25,,MALVASIA PUNTINATA,,G.U. 149,1970-06-17
134,MALVASIA DI CASORZO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
134,MALVASIA DI CASORZO N.,001,I - CVT AT 1,1992-01-20,12,,,G.U. 46,1992-02-25
134,MALVASIA DI CASORZO N.,002,I - CVT AT 43,1992-01-20,12,,,G.U. 46,1992-02-25
134,MALVASIA DI CASORZO N.,003,I - CVT AT 159,1992-01-20,12,,,G.U. 46,1992-02-25
135,MALVASIA DI LIPARI B.,,,1970-05-25,,(136) MALVASIA DI SARDEGNA B.,,G.U. 149,1970-06-17
135,MALVASIA DI LIPARI B.,001,I - VM 4,2009-03-27,38/75,,,G.U. 146,2009-06-26
136,MALVASIA DI SARDEGNA B.,,,1970-05-25,,(135) MALVASIA DI LIPARI B.,,G.U. 149,1970-06-17
137,MALVASIA DI SCHIERANO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
138,MALVASIA ISTRIANA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
138,MALVASIA ISTRIANA B.,001,I - ISV CONEGLIANO 1,1969-12-24,1,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
138,MALVASIA ISTRIANA B.,002,I - ISV-F6,1990-08-31,1/23,,,G.U. 242,1991-10-15
138,MALVASIA ISTRIANA B.,003,I - VCR 4,1995-03-03,2,,,G.U. 72,1995-03-27
138,MALVASIA ISTRIANA B.,004,I - ERSA FVG 120,2002-11-27,23,,,G.U. 19,2003-01-24
138,MALVASIA ISTRIANA B.,005,I - ERSA FVG 121,2002-11-27,23,,,G.U. 19,2003-01-24
138,MALVASIA ISTRIANA B.,006,I - VCR 113,2007-01-09,2,,,G.U. 38,2007-02-15
138,MALVASIA ISTRIANA B.,007,I - VCR 114,2007-01-09,2,,,G.U. 38,2007-02-15
138,MALVASIA ISTRIANA B.,008,I - VCR 115,2007-01-09,2,,,G.U. 38,2007-02-15
138,MALVASIA ISTRIANA B.,009,I - ERSA FVG 122,2009-01-12,23,,,G.U. 93,2009-04-22
138,MALVASIA ISTRIANA B.,010,I - ERSA FVG 123,2009-01-12,23,,,G.U. 93,2009-04-22
138,MALVASIA ISTRIANA B.,011,I - 2007 ISV-VA 101,2009-01-12,1/21,,,G.U. 93,2009-04-22
138,MALVASIA ISTRIANA B.,012,I - VCR 22,2013-07-10,2,,,G. U. 186,2013-08-09
138,MALVASIA ISTRIANA B.,013,I - VCR 26,2013-07-10,2,,,G. U. 186,2013-08-09
139,MALVASIA NERA DI BASILICATA N.,,,1971-03-22,,,,G.U. 98,1971-04-24
140,MALVASIA NERA DI BRINDISI N.,,,1970-05-25,,"(141) MALVASIA NERA DI LECCE N., 
MALVASIA *, MALVOISIE**, MALVOISIER**","* Ai soli fini della designazione ** Ai soli fini della designazione, per l'esportazione o la spedizione verso altri Stati membri.",G.U. 149,1970-06-17
140,MALVASIA NERA DI BRINDISI N.,001,I - S. LUCE 2,1976-02-04,9,,,G.U. 136,1976-05-24
140,MALVASIA NERA DI BRINDISI N.,002,I - UBA 69/E,1992-01-20,11/35/36,,,G.U. 53,1992-03-04
140,MALVASIA NERA DI BRINDISI N.,003,I - UBA 70/A,1992-01-20,11/35/36,,,G.U. 53,1992-03-04
141,MALVASIA NERA DI LECCE N.,,,1970-05-25,,"(140) MALVASIA NERA DI BRINDISI N., MALVASIA *, MALVOISIE**, MALVOISIER**","* Ai soli fini della designazione ** Ai soli fini della designazione, per l'esportazione o la spedizione verso altri Stati membri.",G.U. 149,1970-06-17
142,MAMMOLO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
142,MAMMOLO N.,001,I - MAM - PA - 1,2007-01-09,15/9,,,G.U. 38,2007-02-15
142,MAMMOLO N.,002,I - VCR 432,2009-01-12,2,,,G.U. 93,2009-04-22
143,MARSIGLIANA NERA N.,,,1971-02-22,,"(099) Greco Nero N., (934) Magliocco Dolce N., Arvino.",,G.U. 71,1971-03-22
144,MARZEMINO N.,,,1970-05-25,,"BERZAMINO, BERZEMINO",,G.U. 149,1970-06-17
144,MARZEMINO N.,001,I - SMA 9,1969-12-24,6,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
144,MARZEMINO N.,003,I - SMA 18,1969-12-24,6,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
144,MARZEMINO N.,004,I - MIDA - 95 - 132,1996-10-09,7/29/33,,,G.U. 258,1996-11-04
144,MARZEMINO N.,005,I - MIDA - 95 - 172,1996-10-09,7/29/33,,,G.U. 258,1996-11-04
144,MARZEMINO N.,006,I - ISV - V 1,1999-03-01,1,,,G.U. 86,1999-04-14
144,MARZEMINO N.,007,I - ISV - V 13,1999-03-01,1,,,G.U. 86,1999-04-14
144,MARZEMINO N.,008,I - ISV - V 14,1999-03-01,1,,,G.U. 86,1999-04-14
144,MARZEMINO N.,009,I - VCR 3,2001-11-06,2,,,G.U. 297,2001-12-22
144,MARZEMINO N.,010,I - CVP - 01 - 114,2001-11-06,7/29/33/41,,,G.U. 297,2001-12-22
144,MARZEMINO N.,011,I - ISMA 353,2005-06-09,6,,,G.U. 210,2005-09-09
144,MARZEMINO N.,012,I - ISMA 355,2005-06-09,6,,,G.U. 210,2005-09-09
144,MARZEMINO N.,013,I - UNIMI-VITIS MAR VV701,2009-01-12,33/58,,,G.U. 93,2009-04-22
144,MARZEMINO N.,014,I - UNIMI-VITIS MAR VV710,2009-01-12,33/58,,,G.U. 93,2009-04-22
144,MARZEMINO N.,015,I - VCR 114,2013-07-10,2,,,G. U. 186,2013-08-09
144,MARZEMINO N.,016,I - ISMA -CAVIT 14,2016-12-28,6/103/104,,,G.U. 8,2017-01-11
144,MARZEMINO N.,017,I - ISMA-CAVIT 41,2016-12-28,6/103/104,,,G.U. 8,2017-01-11
144,MARZEMINO N.,018,I - ISMA-CAVIT 43,2016-12-28,6/103/104,,,G.U. 8,2017-01-11
144,MARZEMINO N.,019,I - ISMA-CAVIT 91,2016-12-28,6/103/104,,,G.U. 8,2017-01-11
145,MAZZESE N.,,,1970-05-25,,,,G.U. 149,1970-06-17
146,MERLOT N.,,,1970-05-25,,,,G.U. 149,1970-06-17
146,MERLOT N.,001,I - RAUSCEDO 3,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
146,MERLOT N.,002,I - RAUSCEDO 12,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
146,MERLOT N.,003,I - RAUSCEDO 18,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
146,MERLOT N.,004,I - FEDIT 1 C.S.G.,1969-12-24,3,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
146,MERLOT N.,005,I - ISV-F-V2,1990-06-21,1/23,,,G.U. 199,1990-08-27
146,MERLOT N.,006,I - ISV-F-V4,1990-06-21,1/23,,,G.U. 199,1990-08-27
146,MERLOT N.,007,I - ISV-F-V6,1990-06-21,1/23,,,G.U. 199,1990-08-27
146,MERLOT N.,008,I - ISV-F-V5,1990-06-21,1/23,,,G.U. 199,1990-08-27
146,MERLOT N.,009,I - BM-8B,1990-08-31,7/33,,,G.U. 242,1991-10-15
146,MERLOT N.,010,I - BM-5A,1990-08-31,7/33,,,G.U. 242,1991-10-15
146,MERLOT N.,011,I - VCR 1,2000-12-06,2,,,G.U. 170,2001-07-24
146,MERLOT N.,012,I - VCR 101,2002-05-15,2,,,G.U. 165,2002-07-16
146,MERLOT N.,013,I - ERSA FVG 350,2002-11-27,23,,,G.U. 19,2003-01-24
146,MERLOT N.,014,I - ERSA FVG 351,2002-11-27,23,,,G.U. 19,2003-01-24
146,MERLOT N.,015,I - VCR 13,2003-07-09,2,,,G.U. 241,2003-10-16
146,MERLOT N.,016,I - ERSA FVG 352,2004-05-07,23,,,G.U. 242,2004-10-14
146,MERLOT N.,017,I - ERSA FVG 353,2005-06-09,23,,,G.U. 210,2005-09-09
146,MERLOT N.,018,I - ISV sn - V 11,2005-06-09,1/21,,,G.U. 210,2005-09-09
146,MERLOT N.,019,I - ISV sn - V 12,2005-06-09,1/21,,,G.U. 210,2005-09-09
146,MERLOT N.,020,I - ISV sn - V 14,2005-06-09,1/21,,,G.U. 210,2005-09-09
146,MERLOT N.,021,I - VCR 488,2007-09-19,2,,,G.U. 253,2007-10-30
146,MERLOT N.,022,I - VCR 489,2007-09-19,2,,,G.U. 253,2007-10-30
146,MERLOT N.,023,I - VCR 490,2007-09-19,2,,,G.U. 253,2007-10-30
146,MERLOT N.,024,I - VCR 494,2007-09-19,2,,,G.U. 253,2007-10-30
146,MERLOT N.,025,I - Ampelos TEA 12,2008-01-28,59/60,,,G.U. 62,2008-03-13
146,MERLOT N.,026,I - Ampelos TEA 13,2008-01-28,59/60,,,G.U. 62,2008-03-13
146,MERLOT N.,027,I - Ampelos TEA 19,2008-01-28,59/60,,,G.U. 62,2008-03-13
146,MERLOT N.,028,I - Ampelos TEA 20,2008-01-28,59/60,,,G.U. 62,2008-03-13
146,MERLOT N.,029,I - ERSA FVG 354,2009-01-12,23,,,G.U. 93,2009-04-22
146,MERLOT N.,030,I - VCR 103,2009-03-27,2,,,G.U. 146,2009-06-26
146,MERLOT N.,031,I - CRAVIT ERSA FVG 355,2011-04-22,23/1,,,G. U. 170,2011-07-23
146,MERLOT N.,032,I - CRAVIT ERSA FVG 356,2011-04-22,23/1,,,G. U. 170,2011-07-23
146,MERLOT N.,033,I - CRAVIT ERSA FVG 357,2011-04-22,23/1,,,G. U. 170,2011-07-23
146,MERLOT N.,034,I - VITIS 1,2011-04-22,58,,,G. U. 170,2011-07-23
146,MERLOT N.,035,I - VITIS 3,2011-04-22,58,,,G. U. 170,2011-07-23
146,MERLOT N.,036,I - Ampelos CNT 5,2013-07-10,78/60,,,G. U. 186,2013-08-09
146,MERLOT N.,037,I - Ampelos CNT 9,2013-07-10,78/60,,,G. U. 186,2013-08-09
146,MERLOT N.,038,I - Ampelos CNT 13,2013-07-10,78/60,,,G. U. 186,2013-08-09
146,MERLOT N.,039,I - VCR 27,2013-07-10,2,,,G. U. 186,2013-08-09
146,MERLOT N.,040,I - VCR 28,2013-07-10,2,,,G. U. 186,2013-08-09
146,MERLOT N.,041,I - VCR 36,2014-10-20,2,,,G.U. 258,2014-06-11
146,MERLOT N.,042,I - VCR 37,2014-10-20,2,,,G.U. 258,2014-06-11
147,MINNELLA BIANCA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
148,MOLINARA N.,,,1970-05-25,,"ROSSANO, ROSSANELLA",,G.U. 149,1970-06-17
148,MOLINARA N.,001,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
148,MOLINARA N.,002,I - ISV-CV 87,1980-10-01,1/17,,,G.U. 300,1980-10-31
148,MOLINARA N.,003,I - ISV-CV 100,1980-10-01,1/17,,,G.U. 300,1980-10-31
148,MOLINARA N.,004,I - ISV-CV 3,1991-02-23,1/17,,,G.U. 242,1991-10-15
148,MOLINARA N.,005,I - VCR 12,2000-12-06,2,,,G.U. 170,2001-07-24
149,MONICA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
149,MONICA N.,001,I - CFC 41,1993-07-15,14,,,G.U. 179,1993-08-02
149,"MONICA N,",002,I - VCR 356,2022-04-12,2,,,G.U. 106,2022-05-07
150,MONTEPULCIANO N.,,,1970-05-25,,CORDISCO,G.U. 2023-11-22,G.U. 149,1970-06-17
150,MONTEPULCIANO N.,001,I - RAUSCEDO 7,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
150,MONTEPULCIANO N.,002,I - AP-MP1,1977-06-22,13,,,G.U. 242,1977-09-06
150,MONTEPULCIANO N.,003,I - AP-MP3,1977-06-22,13,,,G.U. 242,1977-09-06
150,MONTEPULCIANO N.,004,I - VCR 100,2002-05-15,2,,,G.U. 165,2002-07-16
150,MONTEPULCIANO N.,005,I - UBA-RA MP 11,2002-11-27,11/47,,,G.U. 19,2003-01-24
150,MONTEPULCIANO N.,006,I - UBA-RA MP 12,2002-11-27,11/47,,,G.U. 19,2003-01-24
150,MONTEPULCIANO N.,007,I - UBA-RA MP 13,2002-11-27,11/47,,,G.U. 19,2003-01-24
150,MONTEPULCIANO N.,008,I - UBA-RA MP 14,2002-11-27,11/47,,,G.U. 19,2003-01-24
150,MONTEPULCIANO N.,009,I - TEA 5,2007-01-09,59/60,,,G.U. 38,2007-02-15
150,MONTEPULCIANO N.,010,I - UNIMI - ASSAM MTP VV 301,2007-01-09,33/61,,,G.U. 38,2007-02-15
150,MONTEPULCIANO N.,011,I - UNIMI - ASSAM MTP VV 312,2007-09-19,33/61,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,012,I - UNIMI - ASSAM MTP VV 321,2007-09-19,33/61,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,013,I - VCR 453,2007-09-19,2,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,014,I - VCR 454,2007-09-19,2,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,015,I - VCR 456,2007-09-19,2,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,016,I - VCR 462,2007-09-19,2,,,G.U. 253,2007-10-30
150,MONTEPULCIANO N.,017,I - Ampelos TEA 21,2008-01-28,59/60,,,G.U. 62,2008-03-13
150,MONTEPULCIANO N.,018,I - VCR 496,2009-03-27,2,,,G.U. 146,2009-06-26
150,MONTEPULCIANO N.,019,I - VCR 498,2009-03-27,2,,,G.U. 146,2009-06-26
150,MONTEPULCIANO N.,020,I - UBA-RA MP 33,2009-03-27,47/11/73/74,,,G.U. 146,2009-06-26
150,MONTEPULCIANO N.,021,I - VCR 419,2013-07-10,2,,,G. U. 186,2013-08-09
150,MONTEPULCIANO N.,022,I - Ampelos CNT 12,2014-05-15,78/60,,,G.U. 127,2014-06-04
150,MONTEPULCIANO N.,023,I - Ampelos CNT 16,2014-05-15,78/60,,,G.U. 127,2014-06-04
150,MONTEPULCIANO N.,024,I - Vitis 19,2016-06-08,58,,,G.U. 155,2016-07-05
150,MONTEPULCIANO N.,025,I - UNIMI 10,2016-06-08,33,,,G.U. 155,2016-07-05
150,MONTEPULCIANO N.,026,I - UNIMI 14,2016-06-08,33,,,G.U. 155,2016-07-05
150,MONTEPULCIANO N.,027,I - Vitis 21,2016-12-28,58,,,G.U. 8,2017-01-11
151,MONTONICO BIANCO B.,,,1970-05-25,,UVA DELLA SCALA,,G.U. 149,1970-06-17
151,MONTONICO BIANCO B.,001,I - UBA - RA MT 32,2002-11-27,11/47,,,G.U. 19,2003-01-24
151,MONTONICO BIANCO B.,002,I - CRSFA - Regione Puglia C93,2020-01-07,66/71/11/80,,,G.U. 16,2020-01-21
152,MONTU' B.,,,1970-05-25,,MONTUNI,,G.U. 149,1970-06-17
152,MONTU' B.,001,I - CAB 14,1994-10-26,8/34,,,G.U. 273,1994-11-22
153,MOSCATO BIANCO B.,,,1970-05-25,,"MUSCAT BLANC A PETIT GRAIN, MUSCAT DE CHAMBAVE, MOSCATO*, MOSCATELLO*, MOSCATELLONE*, MUSCAT**, MUSKATELLER**, MOSCATO REALE***, GELBER MUSKATELLER","* Ai soli fini della designazione ** Ai soli fini della designazione, per l'esportazione o la spedizione verso altri Stati membri ***Ai soli fini della designazione dei vini DO e IGT della Regione Puglia",G.U. 149,1970-06-17
